participant,file,passage_raw_any-disfluency_count,passage_perWord_any-disfluency_count,passage_perSyllable_any-disfluency_count,passage_raw_correction-syll_count,passage_perWord_correction-syll_count,passage_perSyllable_correction-syll_count,passage_raw_any-error_count,passage_perWord_any-error_count,passage_perSyllable_any-error_count,phrase,phrase_passage_count,actualPhrase,phrase_raw_any-disfluency_count,phrase_perWord_any-disfluency_count,phrase_perSyllable_any-disfluency_count,phrase_raw_correction-syll_count,phrase_perWord_correction-syll_count,phrase_perSyllable_correction-syll_count,phrase_raw_any-error_count,phrase_perWord_any-error_count,phrase_perSyllable_any-error_count,actualExtendedPhrase,withinFiveSylls_raw_any-disfluency_count,withinFiveSylls_perWord_any-disfluency_count,withinFiveSylls_perSyllable_any-disfluency_count,withinFiveSylls_raw_correction-syll_count,withinFiveSylls_perWord_correction-syll_count,withinFiveSylls_perSyllable_correction-syll_count,withinFiveSylls_raw_any-error_count,withinFiveSylls_perWord_any-error_count,withinFiveSylls_perSyllable_any-error_count
sub-3300002,muffins_11g_all-cols.csv,7,0.033816425120772944,0.018518518518518517,24,0.11594202898550725,0.06349206349206349,20,0.0966183574879227,0.05291005291005291,flavor,4,flavors flavors,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,symphony symphony symphony symphony of flavors flavors and textures textures in a,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
sub-3300002,raspberries_11g_all-cols.csv,12,0.06282722513089005,0.03519061583577713,28,0.14659685863874344,0.08211143695014662,30,0.15706806282722513,0.08797653958944282,flavor,2,flavor flavor,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,of luxury luxury luxury and flavor flavor these berries berries are soft,1,0.125,0.08333333333333333,0,0.0,0.0,0,0.0,0.0
sub-3300002,raspberries_11g_all-cols.csv,12,0.06282722513089005,0.03519061583577713,28,0.14659685863874344,0.08211143695014662,30,0.15706806282722513,0.08797653958944282,flavor,2,flavor flavor,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,savor their exquisite exquisite exquisite flavor flavor and to cherish cherish each,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
sub-3300002,blackberries_11g_all-cols.csv,9,0.05142857142857143,0.02857142857142857,11,0.06285714285714286,0.03492063492063492,10,0.05714285714285714,0.031746031746031744,profile,1,profile profile profile,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,enrich enrich the flavor flavor profile profile profile from lavish lavish desserts desserts,1,0.14285714285714285,0.07692307692307693,3,0.42857142857142855,0.23076923076923078,1,0.14285714285714285,0.07692307692307693
sub-3300002,boots_11g_all-cols.csv,7,0.035,0.019886363636363636,12,0.06,0.03409090909090909,23,0.115,0.06534090909090909,profile,1,profiles profiles profiles,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,from sleek minimal minimal minimal profiles profiles profiles to more ornate ornate forms,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
sub-3300002,elephant_11g_all-cols.csv,11,0.05555555555555555,0.031791907514450865,32,0.16161616161616163,0.09248554913294797,13,0.06565656565656566,0.03757225433526012,forests,1,forests forests,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,including including grasslands grasslands and forests forests their skin thick and rugged,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
sub-3300002,finches_11g_all-cols.csv,14,0.0782122905027933,0.04416403785488959,21,0.11731843575418995,0.06624605678233439,19,0.10614525139664804,0.05993690851735016,forests,1,forests forests,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,frequently frequently navigate navigate navigate forests forests gardens gardens and open open,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
sub-3300002,cupcakes_11g_all-cols.csv,16,0.08,0.0440771349862259,14,0.07,0.03856749311294766,11,0.055,0.030303030303030304,artist,1,artistry artistry artistry,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,the expertise expertise expertise and artistry artistry artistry poured into into its making,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
sub-3300002,pens_11g_all-cols.csv,8,0.043243243243243246,0.025,14,0.07567567567567568,0.04375,11,0.05945945945945946,0.034375,artist,1,artists artists,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,beyond beyond just writing writing artists artists have also also treasured treasured,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
sub-3300002,pencils_11g_all-cols.csv,16,0.08376963350785341,0.049079754601226995,19,0.09947643979057591,0.05828220858895705,14,0.07329842931937172,0.04294478527607362,artist,1,artists artists,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,beyond beyond mere writing writing artists artists too have cherished cherished it,0,0.0,0.0,3,0.375,0.25,1,0.125,0.08333333333333333
