participant,passageName,recalled,errorCount,disfluencyCount,errorsPerSyllable,disfluenciesPerSyllable,errorsPerWord,disfluenciesPerWord
sub-3300004,boots_11g_all-cols,1,24,20,0.06818181818181818,0.056818181818181816,0.12,0.1
sub-3300004,trucks_11g_all-cols,0,14,19,0.040697674418604654,0.055232558139534885,0.07216494845360824,0.0979381443298969
sub-3300004,sparrows_11g_all-cols,0,30,24,0.09063444108761329,0.07250755287009064,0.16216216216216217,0.12972972972972974
sub-3300004,blackberries_11g_all-cols,0,10,12,0.031746031746031744,0.0380952380952381,0.05714285714285714,0.06857142857142857
sub-3300004,cupcakes_11g_all-cols,1,33,24,0.09090909090909091,0.06611570247933884,0.165,0.12
sub-3300004,roses_11g_all-cols,1,11,15,0.03618421052631579,0.049342105263157895,0.06111111111111111,0.08333333333333333
sub-3300004,giraffe_11g_all-cols,1,17,25,0.049132947976878616,0.07225433526011561,0.08629441624365482,0.12690355329949238
sub-3300004,pens_11g_all-cols,0,20,12,0.0625,0.0375,0.10810810810810811,0.06486486486486487
sub-3300004,finches_11g_all-cols,0,26,13,0.08201892744479496,0.04100946372239748,0.1452513966480447,0.07262569832402235
sub-3300004,tulips_11g_all-cols,1,7,11,0.021671826625386997,0.034055727554179564,0.03608247422680412,0.05670103092783505
sub-3300004,pine_11g_all-cols,1,24,23,0.07430340557275542,0.07120743034055728,0.12435233160621761,0.11917098445595854
sub-3300004,oak_11g_all-cols,0,29,21,0.090625,0.065625,0.15104166666666666,0.109375
sub-3300004,cars_11g_all-cols,1,27,15,0.07917888563049853,0.04398826979472141,0.13846153846153847,0.07692307692307693
sub-3300004,muffins_11g_all-cols,0,32,21,0.08465608465608465,0.05555555555555555,0.15458937198067632,0.10144927536231885
sub-3300004,pencils_11g_all-cols,0,28,10,0.08588957055214724,0.03067484662576687,0.14659685863874344,0.05235602094240838
sub-3300006,boots_9g_all-cols,1,20,3,0.057971014492753624,0.008695652173913044,0.09803921568627451,0.014705882352941176
sub-3300006,pine_9g_all-cols,0,7,12,0.023411371237458192,0.04013377926421405,0.03684210526315789,0.06315789473684211
sub-3300006,raspberries_9g_all-cols,1,21,10,0.0670926517571885,0.03194888178913738,0.11797752808988764,0.056179775280898875
sub-3300006,cars_9g_all-cols,0,7,6,0.020588235294117647,0.01764705882352941,0.034653465346534656,0.0297029702970297
sub-3300006,oak_9g_all-cols,0,20,7,0.0664451827242525,0.023255813953488372,0.10256410256410256,0.035897435897435895
sub-3300006,cupcakes_9g_all-cols,1,10,5,0.029154518950437316,0.014577259475218658,0.04926108374384237,0.024630541871921183
sub-3300006,sandals_9g_all-cols,1,14,10,0.04081632653061224,0.029154518950437316,0.07035175879396985,0.05025125628140704
sub-3300006,sparrows_9g_all-cols,1,12,9,0.0392156862745098,0.029411764705882353,0.06818181818181818,0.05113636363636364
sub-3300006,pens_9g_all-cols,1,15,0,0.05067567567567568,0.0,0.07894736842105263,0.0
sub-3300006,tulips_9g_all-cols,1,7,4,0.02413793103448276,0.013793103448275862,0.036458333333333336,0.020833333333333332
sub-3300006,blackberries_9g_all-cols,1,5,7,0.016666666666666666,0.023333333333333334,0.028901734104046242,0.04046242774566474
sub-3300006,muffins_9g_all-cols,1,24,6,0.06611570247933884,0.01652892561983471,0.11374407582938388,0.02843601895734597
sub-3300006,elephants_9g_all-cols,1,19,11,0.053824362606232294,0.031161473087818695,0.09134615384615384,0.052884615384615384
sub-3300006,finches_9g_all-cols,1,12,2,0.03986710963455149,0.006644518272425249,0.06741573033707865,0.011235955056179775
sub-3300006,giraffe_9g_all-cols,0,17,6,0.04735376044568245,0.016713091922005572,0.08133971291866028,0.028708133971291867
sub-3300006,roses_9g_all-cols,1,16,1,0.056338028169014086,0.0035211267605633804,0.08791208791208792,0.005494505494505495
sub-3300006,trucks_9g_all-cols,1,18,4,0.05405405405405406,0.012012012012012012,0.09090909090909091,0.020202020202020204
sub-3300006,pencils_9g_all-cols,1,17,4,0.05647840531561462,0.013289036544850499,0.09042553191489362,0.02127659574468085
sub-3300008,raspberries_11g_all-cols,1,16,3,0.0469208211143695,0.008797653958944282,0.08376963350785341,0.015706806282722512
sub-3300008,giraffe_11g_all-cols,0,9,3,0.02601156069364162,0.008670520231213872,0.04568527918781726,0.015228426395939087
sub-3300008,oak_11g_all-cols,1,21,4,0.065625,0.0125,0.109375,0.020833333333333332
sub-3300008,blackberries_11g_all-cols,1,4,2,0.012698412698412698,0.006349206349206349,0.022857142857142857,0.011428571428571429
sub-3300008,sparrows_11g_all-cols,0,5,9,0.015105740181268883,0.027190332326283987,0.02702702702702703,0.04864864864864865
sub-3300008,cupcakes_11g_all-cols,0,10,9,0.027548209366391185,0.024793388429752067,0.05,0.045
sub-3300008,pine_11g_all-cols,1,15,3,0.04643962848297214,0.009287925696594427,0.07772020725388601,0.015544041450777202
sub-3300008,trucks_11g_all-cols,1,4,5,0.011627906976744186,0.014534883720930232,0.020618556701030927,0.02577319587628866
sub-3300008,pens_11g_all-cols,1,7,5,0.021875,0.015625,0.03783783783783784,0.02702702702702703
sub-3300008,tulips_11g_all-cols,1,8,2,0.02476780185758514,0.006191950464396285,0.041237113402061855,0.010309278350515464
sub-3300008,boots_11g_all-cols,0,9,7,0.02556818181818182,0.019886363636363636,0.045,0.035
sub-3300008,cars_11g_all-cols,1,13,3,0.03812316715542522,0.008797653958944282,0.06666666666666667,0.015384615384615385
sub-3300008,sandals_11g_all-cols,0,13,3,0.03768115942028986,0.008695652173913044,0.0663265306122449,0.015306122448979591
